r_l	I(Rl)
Step Information: V_i=2.5 R_e=100  (Run: 1/4)
3.981071705534982e-002	2.127193e-002
5.011872336272736e-002	2.127192e-002
6.309573444801950e-002	2.127192e-002
7.943282347242837e-002	2.127192e-002
1.000000000000003e-001	2.127192e-002
1.258925411794171e-001	2.127192e-002
1.584893192461118e-001	2.127192e-002
1.995262314968886e-001	2.127191e-002
2.511886431509588e-001	2.127191e-002
3.162277660168389e-001	2.127190e-002
3.981071705534985e-001	2.127190e-002
5.011872336272739e-001	2.127189e-002
6.309573444801954e-001	2.127188e-002
7.943282347242842e-001	2.127187e-002
1.000000000000003e+000	2.127185e-002
1.258925411794172e+000	2.127183e-002
1.584893192461119e+000	2.127181e-002
1.995262314968887e+000	2.127178e-002
2.511886431509589e+000	2.127174e-002
3.162277660168391e+000	2.127169e-002
3.981071705534987e+000	2.127163e-002
5.011872336272742e+000	2.127155e-002
6.309573444801957e+000	2.127145e-002
7.943282347242846e+000	2.127133e-002
1.000000000000004e+001	2.127117e-002
1.258925411794172e+001	2.127098e-002
1.584893192461120e+001	2.127073e-002
1.995262314968888e+001	2.127042e-002
2.511886431509591e+001	2.127003e-002
3.162277660168393e+001	2.126954e-002
3.981071705534990e+001	2.126891e-002
5.011872336272745e+001	2.126812e-002
6.309573444801961e+001	2.126712e-002
7.943282347242851e+001	2.126585e-002
1.000000000000005e+002	2.126423e-002
1.258925411794173e+002	2.126218e-002
1.584893192461121e+002	2.125955e-002
1.995262314968889e+002	2.125618e-002
2.511886431509593e+002	2.125183e-002
3.162277660168395e+002	1.803411e-002
3.981071705534993e+002	1.439247e-002
5.011872336272749e+002	1.146199e-002
6.309573444801965e+002	9.120438e-003
7.943282347242857e+002	7.253863e-003
1.000000000000005e+003	5.767341e-003
1.258925411794174e+003	4.584427e-003
1.584893192461122e+003	3.643539e-003
1.995262314968891e+003	2.895402e-003
2.511886431509594e+003	2.300667e-003
3.162277660168397e+003	1.827964e-003
3.981071705534995e+003	1.452304e-003
5.011872336272751e+003	1.153794e-003
6.309573444801968e+003	9.166188e-004
7.943282347242860e+003	7.281662e-004
1.000000000000000e+004	5.784502e-004
