Freq.	V(vo)
Step Information: R_e=220  (Run: 1/2)
2.29739670999407e+003	(-9.94890990021154e-001dB,-1.48888332875470e+002°)
2.46228882668983e+003	(-8.50733586271136e-001dB,-1.50648497698075e+002°)
2.63901582154579e+003	(-7.21233807462836e-001dB,-1.52341268049235e+002°)
2.82842712474619e+003	(-6.05276877349897e-001dB,-1.53964204249927e+002°)
3.03143313302080e+003	(-5.01755418732389e-001dB,-1.55515755309942e+002°)
3.24900958542494e+003	(-4.09587691505474e-001dB,-1.56995183462028e+002°)
3.48220225318450e+003	(-3.27732200416055e-001dB,-1.58402476335387e+002°)
3.73213196614723e+003	(-2.55198753056783e-001dB,-1.59738252792328e+002°)
4.00000000000000e+003	(-1.91056230059979e-001dB,-1.61003667474401e+002°)
4.28709385014517e+003	(-1.34437446183593e-001dB,-1.62200318012251e+002°)
4.59479341998814e+003	(-8.45415410376392e-002dB,-1.63330157776201e+002°)
4.92457765337966e+003	(-4.06343531150405e-002dB,-1.64395416068354e+002°)
5.27803164309157e+003	(-2.04721292226419e-003dB,-1.65398526831087e+002°)
5.65685424949238e+003	(3.18254481688769e-002dB,-1.66342066288732e+002°)
6.06286626604159e+003	(6.15293276546017e-002dB,-1.67228699441360e+002°)
6.49801917084988e+003	(8.75540298320739e-002dB,-1.68061134997636e+002°)
6.96440450636899e+003	(1.10337156092679e-001dB,-1.68842088080727e+002°)
7.46426393229446e+003	(1.30268522189393e-001dB,-1.69574249954176e+002°)
8.00000000000000e+003	(1.47694361651869e-001dB,-1.70260263933847e+002°)
8.57418770029034e+003	(1.62921412435771e-001dB,-1.70902706669641e+002°)
9.18958683997627e+003	(1.76220815162114e-001dB,-1.71504074014891e+002°)
9.84915530675933e+003	(1.87831776378685e-001dB,-1.72066770757561e+002°)
1.05560632861831e+004	(1.97964969856413e-001dB,-1.72593103574210e+002°)
1.13137084989848e+004	(2.06805663815962e-001dB,-1.73085276614239e+002°)
1.21257325320832e+004	(2.14516572961762e-001dB,-1.73545389226497e+002°)
1.29960383416998e+004	(2.21240442026916e-001dB,-1.73975435411454e+002°)
1.39288090127380e+004	(2.27102372864265e-001dB,-1.74377304601961e+002°)
1.49285278645889e+004	(2.32211910515867e-001dB,-1.74752783505808e+002°)
1.60000000000000e+004	(2.36664905629610e-001dB,-1.75103558734625e+002°)
1.71483754005807e+004	(2.40545171444176e-001dB,-1.75431220018762e+002°)
1.83791736799525e+004	(2.43925953636222e-001dB,-1.75737263838508e+002°)
1.96983106135186e+004	(2.46871230853780e-001dB,-1.76023097326869e+002°)
2.11121265723663e+004	(2.49436862926893e-001dB,-1.76290042356800e+002°)
2.26274169979695e+004	(2.51671602691543e-001dB,-1.76539339687868e+002°)
2.42514650641664e+004	(2.53617986180567e-001dB,-1.76772153141940e+002°)
2.59920766833995e+004	(2.55313114707551e-001dB,-1.76989573732469e+002°)
2.78576180254759e+004	(2.56789341140139e-001dB,-1.77192623714786e+002°)
2.98570557291778e+004	(2.58074871469421e-001dB,-1.77382260526576e+002°)
3.20000000000000e+004	(2.59194291651104e-001dB,-1.77559380597020e+002°)
3.42967508011614e+004	(2.60169028638265e-001dB,-1.77724823009815e+002°)
3.67583473599051e+004	(2.61017753550008e-001dB,-1.77879373012706e+002°)
3.93966212270373e+004	(2.61756734029463e-001dB,-1.78023765353057e+002°)
4.22242531447326e+004	(2.62400142035212e-001dB,-1.78158687482992e+002°)
4.52548339959390e+004	(2.62960322582693e-001dB,-1.78284782558658e+002°)
4.85029301283327e+004	(2.63448028297233e-001dB,-1.78402652312063e+002°)
5.19841533667990e+004	(2.63872624057944e-001dB,-1.78512859753773e+002°)
5.57152360509519e+004	(2.64242265492607e-001dB,-1.78615931726705e+002°)
5.97141114583556e+004	(2.64564054623195e-001dB,-1.78712361314554e+002°)
6.39999999999999e+004	(2.64844175554842e-001dB,-1.78802610111126e+002°)
6.85935016023227e+004	(2.65088012741914e-001dB,-1.78887110357166e+002°)
7.35166947198102e+004	(2.65300254048140e-001dB,-1.78966266955749e+002°)
7.87932424540746e+004	(2.65484980539744e-001dB,-1.79040459342681e+002°)
8.44485062894652e+004	(2.65645744705068e-001dB,-1.79110043309791e+002°)
9.05096679918780e+004	(2.65785638581758e-001dB,-1.79175352635890e+002°)
9.70058602566654e+004	(2.65907353081795e-001dB,-1.79236700683790e+002°)
1.03968306733598e+005	(2.66013229642289e-001dB,-1.79294381878581e+002°)
1.11430472101904e+005	(2.66105305184633e-001dB,-1.79348673103625e+002°)
1.19428222916711e+005	(2.66185351238929e-001dB,-1.79399835015839e+002°)
1.28000000000000e+005	(2.66254907980246e-001dB,-1.79448113285896e+002°)
1.37187003204645e+005	(2.66315313827043e-001dB,-1.79493739768763e+002°)
1.47033389439620e+005	(2.66367731167526e-001dB,-1.79536933618442e+002°)
1.57586484908149e+005	(2.66413168707117e-001dB,-1.79577902291106e+002°)
1.68897012578930e+005	(2.66452500862892e-001dB,-1.79616842623638e+002°)
1.81019335983756e+005	(2.66486484580218e-001dB,-1.79653941688321e+002°)
1.94011720513331e+005	(2.66515773890592e-001dB,-1.79689377731787e+002°)
2.07936613467196e+005	(2.66540932491946e-001dB,-1.79723321020113e+002°)
2.22860944203808e+005	(2.66562444592316e-001dB,-1.79755934654778e+002°)
2.38856445833423e+005	(2.66580724225060e-001dB,-1.79787375354633e+002°)
2.56000000000000e+005	(2.66596123214588e-001dB,-1.79817794207563e+002°)
2.74374006409291e+005	(2.66608937945614e-001dB,-1.79847337395353e+002°)
2.94066778879241e+005	(2.66619415065592e-001dB,-1.79876146912587e+002°)
3.15172969816298e+005	(2.66627756232635e-001dB,-1.79904361161351e+002°)
3.37794025157861e+005	(2.66634121992128e-001dB,-1.79932115789551e+002°)
3.62038671967512e+005	(2.66638634869971e-001dB,-1.79959544168414e+002°)
3.88023441026662e+005	(2.66641381728480e-001dB,-1.79986778119852e+002°)
4.15873226934392e+005	(2.66642415438360e-001dB,1.79986051467786e+002°)
4.45721888407615e+005	(2.66641755896120e-001dB,1.79958814011059e+002°)
4.77712891666845e+005	(2.66639390406997e-001dB,1.79931378604222e+002°)
5.12000000000000e+005	(2.66635273440611e-001dB,1.79903613390456e+002°)
5.48748012818582e+005	(2.66629325754804e-001dB,1.79875384928553e+002°)
5.88133557758481e+005	(2.66621432869205e-001dB,1.79846557517290e+002°)
6.30345939632597e+005	(2.66611442869528e-001dB,1.79816992717490e+002°)
6.75588050315721e+005	(2.66599163469584e-001dB,1.79786548339533e+002°)
7.24077343935024e+005	(2.66584358325766e-001dB,1.79755078108347e+002°)
7.76046882053323e+005	(2.66566742481920e-001dB,1.79722430787430e+002°)
8.31746453868784e+005	(2.66545976887823e-001dB,1.79688449487693e+002°)
8.91443776815230e+005	(2.66521661875545e-001dB,1.79652970914623e+002°)
9.55425783333690e+005	(2.66493329469985e-001dB,1.79615824584936e+002°)
1.02400000000000e+006	(2.66460434385650e-001dB,1.79576832009019e+002°)
1.09749602563716e+006	(2.66422343536935e-001dB,1.79535805835305e+002°)
1.17626711551696e+006	(2.66378323854551e-001dB,1.79492548883131e+002°)
1.26069187926519e+006	(2.66327528214827e-001dB,1.79446853545970e+002°)
1.35117610063144e+006	(2.66268979090275e-001dB,1.79398500102400e+002°)
1.44815468787005e+006	(2.66201549810571e-001dB,1.79347256360623e+002°)
1.55209376410665e+006	(2.66123942872070e-001dB,1.79292876201301e+002°)
1.66349290773757e+006	(2.66034665001864e-001dB,1.79235098471902e+002°)
1.78288755363046e+006	(2.65931998458461e-001dB,1.79173645741160e+002°)
1.91085156666738e+006	(2.65813968025952e-001dB,1.79108222977530e+002°)
2.04800000000000e+006	(2.65678303070903e-001dB,1.79038516145792e+002°)
2.19499205127433e+006	(2.65522393937524e-001dB,1.78964190715706e+002°)
2.35253423103393e+006	(2.65343241826765e-001dB,1.78884889937436e+002°)
