vi	V(vbe)	I(Rb)	I(Rc)
1.930000000000002e+000	6.734653e-001	-1.256535e-005	3.972241e-003
1.940000000000002e+000	6.736820e-001	-1.266318e-005	4.002066e-003
1.950000000000002e+000	6.738973e-001	-1.276103e-005	4.031880e-003
1.960000000000002e+000	6.741109e-001	-1.285889e-005	4.061681e-003
1.970000000000002e+000	6.743231e-001	-1.295677e-005	4.091471e-003
1.980000000000002e+000	6.745338e-001	-1.305466e-005	4.121248e-003
1.990000000000002e+000	6.747431e-001	-1.315257e-005	4.151014e-003
2.000000000000001e+000	6.749510e-001	-1.325049e-005	4.180767e-003
2.010000000000001e+000	6.751574e-001	-1.334843e-005	4.210508e-003
2.020000000000001e+000	6.753625e-001	-1.344638e-005	4.240238e-003
2.030000000000001e+000	6.755662e-001	-1.354434e-005	4.269955e-003
2.040000000000001e+000	6.757685e-001	-1.364232e-005	4.299659e-003
2.050000000000000e+000	6.759695e-001	-1.374030e-005	4.329352e-003
2.060000000000000e+000	6.761692e-001	-1.383831e-005	4.359032e-003
2.070000000000000e+000	6.763676e-001	-1.393632e-005	4.388699e-003
2.080000000000000e+000	6.765648e-001	-1.403435e-005	4.418354e-003
2.089999999999999e+000	6.767607e-001	-1.413239e-005	4.447998e-003
2.099999999999999e+000	6.769553e-001	-1.423045e-005	4.477628e-003
2.109999999999999e+000	6.771487e-001	-1.432851e-005	4.507245e-003
2.119999999999999e+000	6.773409e-001	-1.442659e-005	4.536850e-003
2.129999999999999e+000	6.775320e-001	-1.452468e-005	4.566443e-003
2.139999999999998e+000	6.777218e-001	-1.462278e-005	4.596023e-003
2.149999999999998e+000	6.779104e-001	-1.472090e-005	4.625590e-003
2.159999999999998e+000	6.780980e-001	-1.481902e-005	4.655144e-003
2.169999999999998e+000	6.782843e-001	-1.491716e-005	4.684686e-003
2.179999999999998e+000	6.784697e-001	-1.501530e-005	4.714215e-003
2.189999999999997e+000	6.786538e-001	-1.511346e-005	4.743731e-003
