vin	V(vgs)	V(vo)	I(Rd)
1.963999999999982e+000	1.964000e+000	4.990673e+000	4.663691e-005
1.964999999999982e+000	1.965000e+000	4.990488e+000	4.756289e-005
1.965999999999982e+000	1.966000e+000	4.990299e+000	4.850711e-005
1.966999999999982e+000	1.967000e+000	4.990106e+000	4.946990e-005
1.967999999999982e+000	1.968000e+000	4.989910e+000	5.045164e-005
1.968999999999981e+000	1.969000e+000	4.989709e+000	5.145268e-005
1.969999999999981e+000	1.970000e+000	4.989505e+000	5.247340e-005
1.970999999999981e+000	1.971000e+000	4.989297e+000	5.351418e-005
1.971999999999981e+000	1.972000e+000	4.989085e+000	5.457542e-005
1.972999999999981e+000	1.973000e+000	4.988869e+000	5.565751e-005
1.973999999999981e+000	1.974000e+000	4.988648e+000	5.676085e-005
1.974999999999981e+000	1.975000e+000	4.988423e+000	5.788585e-005
1.975999999999981e+000	1.976000e+000	4.988194e+000	5.903293e-005
1.976999999999981e+000	1.977000e+000	4.987959e+000	6.020253e-005
1.977999999999980e+000	1.978000e+000	4.987721e+000	6.139507e-005
1.978999999999980e+000	1.979000e+000	4.987478e+000	6.261100e-005
1.979999999999980e+000	1.980000e+000	4.987230e+000	6.385076e-005
1.980999999999980e+000	1.981000e+000	4.986977e+000	6.511483e-005
1.981999999999980e+000	1.982000e+000	4.986719e+000	6.640367e-005
1.982999999999980e+000	1.983000e+000	4.986456e+000	6.771775e-005
1.983999999999980e+000	1.984000e+000	4.986188e+000	6.905758e-005
1.984999999999980e+000	1.985000e+000	4.985915e+000	7.042362e-005
1.985999999999980e+000	1.986000e+000	4.985637e+000	7.181641e-005
1.986999999999979e+000	1.987000e+000	4.985353e+000	7.323644e-005
1.987999999999979e+000	1.988000e+000	4.985063e+000	7.468425e-005
1.988999999999979e+000	1.989000e+000	4.984768e+000	7.616037e-005
1.989999999999979e+000	1.990000e+000	4.984467e+000	7.766534e-005
1.990999999999979e+000	1.991000e+000	4.984160e+000	7.919972e-005
1.991999999999979e+000	1.992000e+000	4.983847e+000	8.076407e-005
1.992999999999979e+000	1.993000e+000	4.983528e+000	8.235897e-005
1.993999999999979e+000	1.994000e+000	4.983203e+000	8.398500e-005
1.994999999999979e+000	1.995000e+000	4.982872e+000	8.564277e-005
1.995999999999979e+000	1.996000e+000	4.982533e+000	8.733287e-005
1.996999999999978e+000	1.997000e+000	4.982189e+000	8.905593e-005
1.997999999999978e+000	1.998000e+000	4.981837e+000	9.081258e-005
