vdd	V(vgs)	V(vo)	I(Rd)
Step Information: Vin=2.19  (Run: 1/3)
2.849999999999998e+000	2.230000e+000	1.549528e+000	6.502360e-003
2.899999999999998e+000	2.230000e+000	1.599528e+000	6.502360e-003
2.949999999999998e+000	2.230000e+000	1.649528e+000	6.502360e-003
2.999999999999997e+000	2.230000e+000	1.699528e+000	6.502360e-003
3.049999999999997e+000	2.230000e+000	1.749528e+000	6.502360e-003
3.099999999999997e+000	2.230000e+000	1.799528e+000	6.502360e-003
3.149999999999997e+000	2.230000e+000	1.849528e+000	6.502360e-003
3.199999999999997e+000	2.230000e+000	1.899528e+000	6.502360e-003
3.249999999999996e+000	2.230000e+000	1.949528e+000	6.502360e-003
3.299999999999996e+000	2.230000e+000	1.999528e+000	6.502360e-003
3.349999999999996e+000	2.230000e+000	2.049528e+000	6.502360e-003
3.399999999999996e+000	2.230000e+000	2.099528e+000	6.502360e-003
3.449999999999996e+000	2.230000e+000	2.149528e+000	6.502360e-003
3.499999999999996e+000	2.230000e+000	2.199528e+000	6.502360e-003
3.549999999999995e+000	2.230000e+000	2.249528e+000	6.502360e-003
3.599999999999995e+000	2.230000e+000	2.299528e+000	6.502360e-003
3.649999999999995e+000	2.230000e+000	2.349528e+000	6.502360e-003
3.699999999999995e+000	2.230000e+000	2.399528e+000	6.502360e-003
3.749999999999995e+000	2.230000e+000	2.449528e+000	6.502360e-003
3.799999999999995e+000	2.230000e+000	2.499528e+000	6.502360e-003
3.849999999999994e+000	2.230000e+000	2.549528e+000	6.502360e-003
3.899999999999994e+000	2.230000e+000	2.599528e+000	6.502360e-003
3.949999999999994e+000	2.230000e+000	2.649528e+000	6.502360e-003
3.999999999999994e+000	2.230000e+000	2.699528e+000	6.502360e-003
4.049999999999994e+000	2.230000e+000	2.749528e+000	6.502360e-003
4.099999999999993e+000	2.230000e+000	2.799528e+000	6.502360e-003
4.149999999999993e+000	2.230000e+000	2.849528e+000	6.502360e-003
4.199999999999993e+000	2.230000e+000	2.899528e+000	6.502360e-003
4.249999999999993e+000	2.230000e+000	2.949528e+000	6.502360e-003
4.299999999999993e+000	2.230000e+000	2.999528e+000	6.502360e-003
4.349999999999993e+000	2.230000e+000	3.049528e+000	6.502360e-003
4.399999999999992e+000	2.230000e+000	3.099528e+000	6.502360e-003
4.449999999999992e+000	2.230000e+000	3.149528e+000	6.502360e-003
4.499999999999992e+000	2.230000e+000	3.199528e+000	6.502360e-003
4.549999999999992e+000	2.230000e+000	3.249528e+000	6.502360e-003
4.599999999999992e+000	2.230000e+000	3.299528e+000	6.502360e-003
4.649999999999992e+000	2.230000e+000	3.349528e+000	6.502360e-003
4.699999999999991e+000	2.230000e+000	3.399528e+000	6.502360e-003
4.749999999999991e+000	2.230000e+000	3.449528e+000	6.502360e-003
4.799999999999991e+000	2.230000e+000	3.499528e+000	6.502360e-003
4.849999999999991e+000	2.230000e+000	3.549528e+000	6.502360e-003
4.899999999999991e+000	2.230000e+000	3.599528e+000	6.502360e-003
4.949999999999990e+000	2.230000e+000	3.649528e+000	6.502360e-003
5.000000000000000e+000	2.230000e+000	3.699528e+000	6.502360e-003
Step Information: Vin=2.255  (Run: 3/3)
0.000000000000000e+000	2.255000e+000	-1.215706e-025	6.078528e-028
5.000000000000000e-002	2.255000e+000	6.304964e-004	2.468475e-004
1.000000000000000e-001	2.255000e+000	1.269134e-003	4.936543e-004
1.500000000000000e-001	2.255000e+000	1.916237e-003	7.404188e-004
2.000000000000000e-001	2.255000e+000	2.572152e-003	9.871393e-004
2.500000000000000e-001	2.255000e+000	3.237249e-003	1.233814e-003
3.000000000000000e-001	2.255000e+000	3.911926e-003	1.480440e-003
3.500000000000000e-001	2.255000e+000	4.596610e-003	1.727017e-003
4.000000000000000e-001	2.255000e+000	5.291760e-003	1.973541e-003
4.500000000000000e-001	2.255000e+000	5.997872e-003	2.220011e-003
4.999999999999999e-001	2.255000e+000	6.715483e-003	2.466423e-003
5.499999999999999e-001	2.255000e+000	7.445174e-003	2.712774e-003
6.000000000000000e-001	2.255000e+000	8.187576e-003	2.959062e-003
6.500000000000000e-001	2.255000e+000	8.943381e-003	3.205283e-003
7.000000000000001e-001	2.255000e+000	9.713341e-003	3.451433e-003
7.500000000000001e-001	2.255000e+000	1.049828e-002	3.697508e-003
8.000000000000002e-001	2.255000e+000	1.129912e-002	3.943504e-003
8.500000000000002e-001	2.255000e+000	1.211686e-002	4.189416e-003
9.000000000000002e-001	2.255000e+000	1.295262e-002	4.435237e-003
9.500000000000003e-001	2.255000e+000	1.380765e-002	4.680962e-003
1.000000000000000e+000	2.255000e+000	1.468335e-002	4.926583e-003
1.050000000000000e+000	2.255000e+000	1.558129e-002	5.172093e-003
1.100000000000000e+000	2.255000e+000	1.650327e-002	5.417483e-003
1.150000000000000e+000	2.255000e+000	1.745133e-002	5.662743e-003
1.200000000000000e+000	2.255000e+000	1.842782e-002	5.907861e-003
1.250000000000000e+000	2.255000e+000	1.943545e-002	6.152823e-003
1.300000000000001e+000	2.255000e+000	2.047742e-002	6.397613e-003
1.350000000000001e+000	2.255000e+000	2.155750e-002	6.642213e-003
1.400000000000001e+000	2.255000e+000	2.268022e-002	6.886599e-003
1.450000000000001e+000	2.255000e+000	2.385106e-002	7.130745e-003
