#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2D13
#Date Time: 2024-02-01 11:03:42.560
#Sample rate: 3.33333e+07Hz
#Samples: 4096

Time (s),Vin,Inv1,Inv2,Inv3
-7.008000000000001e-05,0,0,1,0
-7.005000000000001e-05,0,0,1,0
-7.002e-05,0,0,1,0
-6.999e-05,0,0,1,0
-6.996e-05,0,0,1,0
-6.993e-05,0,0,1,0
-6.99e-05,0,0,1,0
-6.987000000000001e-05,0,0,1,0
-6.984000000000001e-05,0,0,1,0
-6.981e-05,0,0,1,0
-6.978e-05,0,0,1,0
-6.975e-05,0,0,1,0
-6.972e-05,0,0,1,0
-6.969000000000001e-05,0,0,1,0
-6.966000000000001e-05,0,0,1,0
-6.963000000000001e-05,0,0,1,0
-6.96e-05,0,0,1,0
-6.957e-05,0,0,1,0
-6.954e-05,0,0,1,0
-6.951e-05,0,0,1,0
-6.948000000000001e-05,0,0,1,0
-6.945000000000001e-05,0,0,1,0
-6.942e-05,0,0,1,0
-6.939e-05,0,0,1,0
-6.936e-05,0,0,1,0
-6.933e-05,0,0,1,0
-6.93e-05,0,0,1,0
-6.927000000000001e-05,0,0,1,0
-6.924000000000001e-05,0,0,1,0
-6.921e-05,0,0,1,0
-6.918e-05,0,0,1,0
-6.915e-05,0,0,1,0
-6.912e-05,0,0,1,0
-6.909e-05,0,0,1,0
-6.906000000000001e-05,0,0,1,0
-6.903000000000001e-05,0,0,1,0
-6.9e-05,0,0,1,0
-6.897e-05,0,0,1,0
-6.894e-05,0,0,1,0
-6.891e-05,0,0,1,0
-6.888e-05,0,0,1,0
-6.885000000000001e-05,0,0,1,0
-6.882000000000001e-05,0,0,1,0
-6.879e-05,0,0,1,0
-6.876e-05,0,0,1,0
-6.873e-05,0,0,1,0
-6.87e-05,0,0,1,0
-6.867e-05,0,0,1,0
-6.864000000000001e-05,0,0,1,0
-6.861000000000001e-05,0,0,1,0
-6.858e-05,0,0,1,0
-6.855e-05,0,0,1,0
-6.852e-05,0,0,1,0
-6.849e-05,0,0,1,0
-6.846000000000001e-05,0,0,1,0
-6.843000000000001e-05,0,0,1,0
-6.840000000000001e-05,0,0,1,0
-6.837e-05,0,0,1,0
-6.834e-05,0,1,1,0
-6.831e-05,0,1,1,0
-6.828e-05,0,1,1,0
-6.825000000000001e-05,0,1,1,0
-6.822000000000001e-05,0,1,1,0
-6.819e-05,0,1,1,0
-6.816e-05,0,1,1,0
-6.813e-05,0,1,1,0
-6.81e-05,0,1,1,0
-6.807e-05,0,1,1,0
-6.804000000000001e-05,0,1,1,0
-6.801000000000001e-05,0,1,1,0
-6.798e-05,0,1,1,0
-6.795e-05,0,1,1,0
-6.792e-05,0,1,1,0
-6.789e-05,0,1,1,0
-6.786e-05,0,1,1,0
-6.783000000000001e-05,0,1,1,0
-6.780000000000001e-05,0,1,1,0
-6.777e-05,0,1,1,0
-6.774e-05,0,1,1,0
-6.771e-05,0,1,1,0
-6.768e-05,0,1,1,0
-6.765e-05,0,1,1,0
-6.762000000000001e-05,0,1,1,0
-6.759000000000001e-05,0,1,1,0
-6.756e-05,0,1,1,0
-6.753e-05,0,1,1,0
-6.75e-05,0,1,1,0
-6.747e-05,0,1,1,0
-6.744e-05,0,1,1,0
-6.741000000000001e-05,0,1,1,0
-6.738000000000001e-05,0,1,1,0
-6.735e-05,0,1,1,0
-6.732e-05,0,1,1,0
-6.729e-05,0,1,1,0
-6.726e-05,0,1,1,0
-6.723000000000001e-05,0,1,1,0
-6.720000000000001e-05,0,1,1,0
-6.717000000000001e-05,0,1,1,0
-6.714e-05,0,1,1,0
-6.711e-05,0,1,1,0
-6.708e-05,0,1,1,0
-6.705e-05,0,1,1,0
-6.702000000000001e-05,0,1,1,0
-6.699000000000001e-05,0,1,1,0
-6.696e-05,0,1,1,0
-6.693e-05,0,1,1,0
-6.69e-05,0,1,1,0
-6.687e-05,0,1,1,0
-6.684e-05,0,1,1,0
-6.681000000000001e-05,0,1,1,0
-6.678000000000001e-05,0,1,1,0
-6.675e-05,0,1,1,0
-6.672e-05,0,1,1,0
-6.669e-05,0,1,1,0
-6.666e-05,0,1,1,0
-6.663e-05,0,1,1,0
-6.660000000000001e-05,0,1,1,0
-6.657000000000001e-05,0,1,1,0
-6.654e-05,0,1,1,0
-6.651e-05,0,1,1,0
-6.648e-05,0,1,1,0
-6.645e-05,0,1,1,0
-6.642e-05,0,1,1,0
-6.639000000000001e-05,0,1,1,0
-6.636000000000001e-05,0,1,1,0
-6.633e-05,0,1,1,0
-6.63e-05,0,1,1,0
-6.627e-05,0,1,1,0
-6.624e-05,0,1,1,0
-6.621e-05,0,1,1,0
-6.618000000000001e-05,0,1,1,0
-6.615000000000001e-05,0,1,1,0
