v1	I(Dgreen)	I(Dred)	I(Dyellow)
1.700000000000001e+00	1.555587e-08	4.492256e-07	7.001191e-08
1.710000000000001e+00	1.691659e-08	4.982622e-07	7.681290e-08
1.720000000000001e+00	1.839635e-08	5.526485e-07	8.427450e-08
1.730000000000001e+00	2.000556e-08	6.129675e-07	9.246087e-08
1.740000000000001e+00	2.175554e-08	6.798653e-07	1.014424e-07
1.750000000000001e+00	2.365861e-08	7.540585e-07	1.112963e-07
1.760000000000001e+00	2.572817e-08	8.363414e-07	1.221073e-07
1.770000000000001e+00	2.797876e-08	9.275944e-07	1.339683e-07
1.780000000000001e+00	3.042623e-08	1.028793e-06	1.469814e-07
1.790000000000001e+00	3.308780e-08	1.141020e-06	1.612582e-07
1.800000000000001e+00	3.598221e-08	1.265473e-06	1.769217e-07
1.810000000000001e+00	3.912981e-08	1.403480e-06	1.941063e-07
1.820000000000001e+00	4.255275e-08	1.556514e-06	2.129597e-07
1.830000000000001e+00	4.627512e-08	1.726205e-06	2.336440e-07
1.840000000000001e+00	5.032311e-08	1.914358e-06	2.563368e-07
1.850000000000001e+00	5.472519e-08	2.122976e-06	2.812332e-07
1.860000000000001e+00	5.951235e-08	2.354271e-06	3.085469e-07
1.870000000000001e+00	6.471826e-08	2.610698e-06	3.385125e-07
1.880000000000001e+00	7.037956e-08	2.894972e-06	3.713873e-07
1.890000000000001e+00	7.653605e-08	3.210097e-06	4.074537e-07
1.900000000000001e+00	8.323107e-08	3.559398e-06	4.470210e-07
1.910000000000001e+00	9.051170e-08	3.946554e-06	4.904290e-07
1.920000000000001e+00	9.842918e-08	4.375629e-06	5.380500e-07
1.930000000000001e+00	1.070392e-07	4.851121e-06	5.902925e-07
1.940000000000002e+00	1.164023e-07	5.377997e-06	6.476046e-07
1.950000000000002e+00	1.265843e-07	5.961746e-06	7.104775e-07
1.960000000000002e+00	1.376569e-07	6.608426e-06	7.794500e-07
1.970000000000002e+00	1.496979e-07	7.324723e-06	8.551130e-07
1.980000000000002e+00	1.627920e-07	8.118014e-06	9.381145e-07
1.990000000000002e+00	1.770314e-07	8.996427e-06	1.029165e-06
2.000000000000001e+00	1.925161e-07	9.968916e-06	1.129043e-06
2.010000000000001e+00	2.093549e-07	1.104534e-05	1.238603e-06
2.020000000000001e+00	2.276663e-07	1.223654e-05	1.358781e-06
2.030000000000001e+00	2.475791e-07	1.355442e-05	1.490604e-06
2.040000000000000e+00	2.692331e-07	1.501206e-05	1.635196e-06
2.050000000000000e+00	2.927806e-07	1.662381e-05	1.793790e-06
2.060000000000000e+00	3.183870e-07	1.840536e-05	1.967738e-06
2.070000000000000e+00	3.462324e-07	2.037388e-05	2.158521e-06
2.080000000000000e+00	3.765123e-07	2.254814e-05	2.367761e-06
2.089999999999999e+00	4.094394e-07	2.494858e-05	2.597235e-06
2.099999999999999e+00	4.452450e-07	2.759746e-05	2.848890e-06
2.109999999999999e+00	4.841806e-07	3.051895e-05	3.124859e-06
2.119999999999999e+00	5.265196e-07	3.373927e-05	3.427475e-06
