v4	V(n010)	I(Dgreen1)
3.399999999999972e+000	3.135897e+000	2.641027e-003
3.409999999999971e+000	3.138980e+000	2.710199e-003
3.419999999999971e+000	3.142009e+000	2.779915e-003
3.429999999999971e+000	3.144984e+000	2.850160e-003
3.439999999999971e+000	3.147908e+000	2.920919e-003
3.449999999999970e+000	3.150782e+000	2.992179e-003
3.459999999999970e+000	3.153607e+000	3.063925e-003
3.469999999999970e+000	3.156385e+000	3.136146e-003
3.479999999999970e+000	3.159117e+000	3.208827e-003
3.489999999999970e+000	3.161804e+000	3.281958e-003
3.499999999999969e+000	3.164448e+000	3.355525e-003
3.509999999999969e+000	3.167048e+000	3.429518e-003
3.519999999999969e+000	3.169608e+000	3.503924e-003
3.529999999999969e+000	3.172127e+000	3.578735e-003
3.539999999999969e+000	3.174606e+000	3.653938e-003
3.549999999999968e+000	3.177048e+000	3.729524e-003
3.559999999999968e+000	3.179452e+000	3.805483e-003
3.569999999999968e+000	3.181819e+000	3.881805e-003
3.579999999999968e+000	3.184152e+000	3.958482e-003
3.589999999999967e+000	3.186450e+000	4.035505e-003
3.599999999999967e+000	3.188714e+000	4.112863e-003
3.609999999999967e+000	3.190945e+000	4.190551e-003
3.619999999999967e+000	3.193144e+000	4.268559e-003
3.629999999999967e+000	3.195312e+000	4.346879e-003
3.639999999999966e+000	3.197450e+000	4.425504e-003
3.649999999999966e+000	3.199557e+000	4.504427e-003
3.659999999999966e+000	3.201636e+000	4.583641e-003
3.669999999999966e+000	3.203686e+000	4.663138e-003
3.679999999999966e+000	3.205709e+000	4.742912e-003
3.689999999999965e+000	3.207704e+000	4.822957e-003
3.699999999999965e+000	3.209673e+000	4.903265e-003
3.709999999999965e+000	3.211617e+000	4.983833e-003
3.719999999999965e+000	3.213535e+000	5.064652e-003
3.729999999999965e+000	3.215428e+000	5.145717e-003
3.739999999999964e+000	3.217298e+000	5.227024e-003
3.749999999999964e+000	3.219143e+000	5.308567e-003
3.759999999999964e+000	3.220966e+000	5.390340e-003
