v3	I(Dyellow1)
3.269999999999974e+00	3.910688e-03
3.279999999999974e+00	3.989238e-03
3.289999999999974e+00	4.068119e-03
3.299999999999974e+00	4.147322e-03
3.309999999999973e+00	4.226839e-03
3.319999999999973e+00	4.306660e-03
3.329999999999973e+00	4.386779e-03
3.339999999999973e+00	4.467188e-03
3.349999999999973e+00	4.547880e-03
3.359999999999972e+00	4.628847e-03
3.369999999999972e+00	4.710082e-03
3.379999999999972e+00	4.791580e-03
3.389999999999972e+00	4.873333e-03
3.399999999999971e+00	4.955335e-03
3.409999999999971e+00	5.037581e-03
3.419999999999971e+00	5.120064e-03
3.429999999999971e+00	5.202778e-03
3.439999999999971e+00	5.285720e-03
3.449999999999970e+00	5.368882e-03
3.459999999999970e+00	5.452261e-03
3.469999999999970e+00	5.535851e-03
3.479999999999970e+00	5.619647e-03
3.489999999999970e+00	5.703644e-03
3.499999999999969e+00	5.787839e-03
3.509999999999969e+00	5.872227e-03
3.519999999999969e+00	5.956803e-03
3.529999999999969e+00	6.041565e-03
3.539999999999969e+00	6.126506e-03
3.549999999999968e+00	6.211624e-03
3.559999999999968e+00	6.296915e-03
3.569999999999968e+00	6.382375e-03
3.579999999999968e+00	6.468002e-03
3.589999999999967e+00	6.553790e-03
3.599999999999967e+00	6.639738e-03
3.609999999999967e+00	6.725841e-03
3.619999999999967e+00	6.812097e-03
3.629999999999967e+00	6.898502e-03
3.639999999999966e+00	6.985054e-03
3.649999999999966e+00	7.071749e-03
3.659999999999966e+00	7.158586e-03
3.669999999999966e+00	7.245561e-03
3.679999999999966e+00	7.332671e-03
3.689999999999965e+00	7.419914e-03
3.699999999999965e+00	7.507287e-03
3.709999999999965e+00	7.594789e-03
3.719999999999965e+00	7.682416e-03
3.729999999999964e+00	7.770166e-03
3.739999999999964e+00	7.858037e-03
3.749999999999964e+00	7.946027e-03
3.759999999999964e+00	8.034133e-03
3.769999999999964e+00	8.122355e-03
3.779999999999963e+00	8.210688e-03
3.789999999999963e+00	8.299132e-03
3.799999999999963e+00	8.387685e-03
3.809999999999963e+00	8.476344e-03
3.819999999999963e+00	8.565107e-03
3.829999999999962e+00	8.653975e-03
3.839999999999962e+00	8.742943e-03
3.849999999999962e+00	8.832010e-03
3.859999999999962e+00	8.921176e-03
3.869999999999961e+00	9.010438e-03
3.879999999999961e+00	9.099795e-03
3.889999999999961e+00	9.189244e-03
3.899999999999961e+00	9.278785e-03
3.909999999999961e+00	9.368417e-03
3.919999999999960e+00	9.458137e-03
3.929999999999960e+00	9.547944e-03
3.939999999999960e+00	9.637836e-03
3.949999999999960e+00	9.727814e-03
3.959999999999960e+00	9.817875e-03
3.969999999999959e+00	9.908017e-03
3.979999999999959e+00	9.998240e-03
3.989999999999959e+00	1.008854e-02
3.999999999999959e+00	1.017892e-02
4.009999999999959e+00	1.026938e-02
4.019999999999959e+00	1.035991e-02
4.029999999999959e+00	1.045052e-02
4.039999999999958e+00	1.054120e-02
4.049999999999958e+00	1.063196e-02
4.059999999999958e+00	1.072278e-02
4.069999999999958e+00	1.081368e-02
4.079999999999957e+00	1.090464e-02
4.089999999999957e+00	1.099568e-02
4.099999999999957e+00	1.108678e-02
4.109999999999957e+00	1.117794e-02
4.119999999999957e+00	1.126918e-02
4.129999999999956e+00	1.136047e-02
4.139999999999956e+00	1.145183e-02
4.149999999999956e+00	1.154326e-02
4.159999999999956e+00	1.163474e-02
4.169999999999956e+00	1.172629e-02
4.179999999999955e+00	1.181790e-02
4.189999999999955e+00	1.190956e-02
4.199999999999955e+00	1.200129e-02
4.209999999999955e+00	1.209307e-02
4.219999999999954e+00	1.218491e-02
4.229999999999954e+00	1.227681e-02
4.239999999999954e+00	1.236876e-02
4.249999999999954e+00	1.246077e-02
4.259999999999954e+00	1.255283e-02
4.269999999999953e+00	1.264494e-02
4.279999999999953e+00	1.273711e-02
4.289999999999953e+00	1.282933e-02
4.299999999999953e+00	1.292160e-02
4.309999999999953e+00	1.301392e-02
4.319999999999952e+00	1.310629e-02
4.329999999999952e+00	1.319871e-02
4.339999999999952e+00	1.329118e-02
4.349999999999952e+00	1.338370e-02
