vi	V(si)	Ix(Zener2:+)
-5.100000000000626e-001	-5.100000e-001	-5.200000e-013
-5.000000000000626e-001	-5.000000e-001	-5.100000e-013
-4.900000000000626e-001	-4.900000e-001	-5.000000e-013
-4.800000000000626e-001	-4.800000e-001	-4.900000e-013
-4.700000000000626e-001	-4.700000e-001	-4.800000e-013
-4.600000000000626e-001	-4.600000e-001	-4.700000e-013
-4.500000000000626e-001	-4.500000e-001	-4.600000e-013
-4.400000000000626e-001	-4.400000e-001	-4.500000e-013
-4.300000000000626e-001	-4.300000e-001	-4.400000e-013
-4.200000000000626e-001	-4.200000e-001	-4.300000e-013
-4.100000000000625e-001	-4.100000e-001	-4.200000e-013
-4.000000000000625e-001	-4.000000e-001	-4.100000e-013
-3.900000000000625e-001	-3.900000e-001	-4.000000e-013
-3.800000000000625e-001	-3.800000e-001	-3.900000e-013
