vi	V(si)	Ix(Schottky2:+)
-1.110000000000063e+000	-1.109997e+000	-1.326727e-008
-1.100000000000063e+000	-1.099997e+000	-1.326624e-008
-1.090000000000063e+000	-1.089997e+000	-1.326521e-008
-1.080000000000063e+000	-1.079997e+000	-1.326418e-008
-1.070000000000063e+000	-1.069997e+000	-1.326315e-008
-1.060000000000063e+000	-1.059997e+000	-1.326211e-008
-1.050000000000063e+000	-1.049997e+000	-1.326108e-008
-1.040000000000063e+000	-1.039997e+000	-1.326004e-008
-1.030000000000063e+000	-1.029997e+000	-1.325900e-008
-1.020000000000063e+000	-1.019997e+000	-1.325796e-008
-1.010000000000063e+000	-1.009997e+000	-1.325692e-008
-1.000000000000063e+000	-9.999974e-001	-1.325588e-008
-9.900000000000631e-001	-9.899973e-001	-1.325484e-008
-9.800000000000630e-001	-9.799973e-001	-1.325379e-008
-9.700000000000630e-001	-9.699973e-001	-1.325274e-008
-9.600000000000630e-001	-9.599974e-001	-1.325170e-008
-9.500000000000630e-001	-9.499974e-001	-1.325065e-008
-9.400000000000630e-001	-9.399974e-001	-1.324959e-008
-9.300000000000630e-001	-9.299973e-001	-1.324854e-008
-9.200000000000630e-001	-9.199973e-001	-1.324749e-008
-9.100000000000630e-001	-9.099973e-001	-1.324643e-008
-9.000000000000630e-001	-8.999974e-001	-1.324537e-008
-8.900000000000630e-001	-8.899974e-001	-1.324431e-008
-8.800000000000630e-001	-8.799974e-001	-1.324325e-008
-8.700000000000630e-001	-8.699973e-001	-1.324219e-008
-8.600000000000629e-001	-8.599973e-001	-1.324113e-008
-8.500000000000629e-001	-8.499973e-001	-1.324006e-008
-8.400000000000629e-001	-8.399974e-001	-1.323900e-008
-8.300000000000629e-001	-8.299974e-001	-1.323793e-008
-8.200000000000629e-001	-8.199974e-001	-1.323686e-008
-8.100000000000629e-001	-8.099974e-001	-1.323578e-008
-8.000000000000629e-001	-7.999973e-001	-1.323471e-008
-7.900000000000629e-001	-7.899973e-001	-1.323363e-008
-7.800000000000629e-001	-7.799973e-001	-1.323255e-008
-7.700000000000629e-001	-7.699974e-001	-1.323148e-008
-7.600000000000629e-001	-7.599974e-001	-1.323039e-008
-7.500000000000628e-001	-7.499974e-001	-1.322931e-008
-7.400000000000628e-001	-7.399973e-001	-1.322822e-008
-7.300000000000628e-001	-7.299973e-001	-1.322714e-008
-7.200000000000628e-001	-7.199973e-001	-1.322605e-008
-7.100000000000628e-001	-7.099974e-001	-1.322496e-008
-7.000000000000628e-001	-6.999974e-001	-1.322386e-008
-6.900000000000628e-001	-6.899974e-001	-1.322277e-008
-6.800000000000628e-001	-6.799974e-001	-1.322167e-008
-6.700000000000628e-001	-6.699973e-001	-1.322057e-008
-6.600000000000628e-001	-6.599973e-001	-1.321947e-008
-6.500000000000628e-001	-6.499974e-001	-1.321837e-008
-6.400000000000627e-001	-6.399974e-001	-1.321726e-008
-6.300000000000627e-001	-6.299974e-001	-1.321615e-008
-6.200000000000627e-001	-6.199974e-001	-1.321504e-008
-6.100000000000627e-001	-6.099973e-001	-1.321393e-008
-6.000000000000627e-001	-5.999973e-001	-1.321281e-008
-5.900000000000627e-001	-5.899974e-001	-1.321169e-008
-5.800000000000627e-001	-5.799974e-001	-1.321057e-008
-5.700000000000627e-001	-5.699974e-001	-1.320945e-008
-5.600000000000627e-001	-5.599974e-001	-1.320832e-008
-5.500000000000627e-001	-5.499973e-001	-1.320720e-008
-5.400000000000627e-001	-5.399973e-001	-1.320606e-008
-5.300000000000626e-001	-5.299973e-001	-1.320493e-008
-5.200000000000626e-001	-5.199974e-001	-1.320379e-008
-5.100000000000626e-001	-5.099974e-001	-1.320265e-008
-5.000000000000626e-001	-4.999973e-001	-1.320150e-008
-4.900000000000626e-001	-4.899974e-001	-1.320035e-008
-4.800000000000626e-001	-4.799974e-001	-1.319919e-008
-4.700000000000626e-001	-4.699973e-001	-1.319803e-008
-4.600000000000626e-001	-4.599974e-001	-1.319686e-008
-4.500000000000626e-001	-4.499974e-001	-1.319569e-008
-4.400000000000626e-001	-4.399974e-001	-1.319450e-008
-4.300000000000626e-001	-4.299974e-001	-1.319331e-008
-4.200000000000626e-001	-4.199974e-001	-1.319210e-008
-4.100000000000625e-001	-4.099974e-001	-1.319088e-008
-4.000000000000625e-001	-3.999974e-001	-1.318965e-008
-3.900000000000625e-001	-3.899974e-001	-1.318839e-008
-3.800000000000625e-001	-3.799974e-001	-1.318711e-008
