vi	I(D)
Step Information: Temp=0  (Run: 1/6)
4.329999999999952e+000	3.524937e-002
4.339999999999952e+000	3.534766e-002
4.349999999999952e+000	3.544596e-002
4.359999999999952e+000	3.554426e-002
4.369999999999951e+000	3.564256e-002
4.379999999999951e+000	3.574087e-002
4.389999999999951e+000	3.583918e-002
4.399999999999951e+000	3.593749e-002
4.409999999999950e+000	3.603581e-002
4.419999999999950e+000	3.613412e-002
4.429999999999950e+000	3.623245e-002
4.439999999999950e+000	3.633077e-002
4.449999999999950e+000	3.642910e-002
4.459999999999949e+000	3.652743e-002
4.469999999999949e+000	3.662576e-002
4.479999999999949e+000	3.672409e-002
4.489999999999949e+000	3.682243e-002
4.499999999999949e+000	3.692077e-002
4.509999999999948e+000	3.701912e-002
4.519999999999948e+000	3.711747e-002
4.529999999999948e+000	3.721581e-002
4.539999999999948e+000	3.731417e-002
4.549999999999947e+000	3.741252e-002
4.559999999999947e+000	3.751088e-002
4.569999999999947e+000	3.760924e-002
4.579999999999947e+000	3.770761e-002
4.589999999999947e+000	3.780597e-002
4.599999999999946e+000	3.790434e-002
4.609999999999946e+000	3.800271e-002
4.619999999999946e+000	3.810109e-002
4.629999999999946e+000	3.819947e-002
4.639999999999946e+000	3.829785e-002
4.649999999999945e+000	3.839623e-002
4.659999999999945e+000	3.849462e-002
4.669999999999945e+000	3.859301e-002
4.679999999999945e+000	3.869140e-002
4.689999999999944e+000	3.878979e-002
4.699999999999944e+000	3.888819e-002
4.709999999999944e+000	3.898659e-002
4.719999999999944e+000	3.908499e-002
4.729999999999944e+000	3.918339e-002
4.739999999999943e+000	3.928180e-002
4.749999999999943e+000	3.938021e-002
4.759999999999943e+000	3.947862e-002
4.769999999999943e+000	3.957703e-002
4.779999999999943e+000	3.967545e-002
4.789999999999942e+000	3.977387e-002
4.799999999999942e+000	3.987229e-002
4.809999999999942e+000	3.997072e-002
4.819999999999942e+000	4.006914e-002
4.829999999999942e+000	4.016757e-002
4.839999999999941e+000	4.026600e-002
4.849999999999941e+000	4.036444e-002
4.859999999999941e+000	4.046287e-002
4.869999999999941e+000	4.056131e-002
4.879999999999940e+000	4.065976e-002
4.889999999999940e+000	4.075820e-002
4.899999999999940e+000	4.085664e-002
4.909999999999940e+000	4.095509e-002
4.919999999999940e+000	4.105354e-002
4.929999999999939e+000	4.115200e-002
4.939999999999939e+000	4.125045e-002
4.949999999999939e+000	4.134891e-002
4.959999999999939e+000	4.144737e-002
4.969999999999939e+000	4.154583e-002
4.979999999999938e+000	4.164429e-002
4.989999999999938e+000	4.174276e-002
5.000000000000000e+000	4.184123e-002
Step Information: Temp=20  (Run: 2/6)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-002	3.418466e-010
2.000000000000000e-002	7.703503e-010
3.000000000000000e-002	1.307479e-009
4.000000000000000e-002	1.980769e-009
5.000000000000000e-002	2.824736e-009
6.000000000000001e-002	3.882648e-009
7.000000000000001e-002	5.208739e-009
8.000000000000000e-002	6.870988e-009
9.000000000000000e-002	8.954608e-009
9.999999999999999e-002	1.156641e-008
1.100000000000000e-001	1.484027e-008
1.200000000000000e-001	1.894401e-008
1.300000000000000e-001	2.408797e-008
1.400000000000000e-001	3.053577e-008
1.500000000000000e-001	3.861787e-008
1.600000000000000e-001	4.874842e-008
1.700000000000000e-001	6.144646e-008
1.800000000000000e-001	7.736251e-008
1.900000000000000e-001	9.731176e-008
2.000000000000000e-001	1.223157e-007
2.100000000000001e-001	1.536543e-007
2.200000000000001e-001	1.929312e-007
2.300000000000001e-001	2.421550e-007
2.400000000000001e-001	3.038420e-007
2.500000000000001e-001	3.811425e-007
2.600000000000001e-001	4.780010e-007
2.700000000000001e-001	5.993535e-007
2.800000000000001e-001	7.513754e-007
2.900000000000001e-001	9.417877e-007
3.000000000000001e-001	1.180239e-006
3.100000000000001e-001	1.478774e-006
3.200000000000001e-001	1.852420e-006
3.300000000000001e-001	2.319896e-006
3.400000000000001e-001	2.904485e-006
3.500000000000001e-001	3.635090e-006
3.600000000000002e-001	4.547511e-006
3.700000000000002e-001	5.685946e-006
3.800000000000002e-001	7.104766e-006
3.900000000000002e-001	8.870546e-006
4.000000000000002e-001	1.106433e-005
4.100000000000002e-001	1.378409e-005
4.200000000000002e-001	1.714724e-005
4.300000000000002e-001	2.129298e-005
4.400000000000002e-001	2.638421e-005
4.500000000000002e-001	3.260863e-005
4.600000000000002e-001	4.017838e-005
4.700000000000003e-001	4.932791e-005
4.800000000000003e-001	6.030934e-005
4.900000000000003e-001	7.338530e-005
5.000000000000002e-001	8.881911e-005
5.100000000000002e-001	1.068631e-004
5.200000000000002e-001	1.277460e-004
5.300000000000003e-001	1.516611e-004
5.400000000000003e-001	1.787567e-004
5.500000000000003e-001	2.091298e-004
5.600000000000003e-001	2.428242e-004
5.700000000000003e-001	2.798323e-004
5.800000000000003e-001	3.201006e-004
5.900000000000003e-001	3.635370e-004
6.000000000000003e-001	4.100196e-004
6.100000000000003e-001	4.594051e-004
6.200000000000003e-001	5.115368e-004
6.300000000000003e-001	5.662513e-004
6.400000000000004e-001	6.233837e-004
6.500000000000004e-001	6.827718e-004
6.600000000000004e-001	7.442591e-004
6.700000000000004e-001	8.076965e-004
6.800000000000004e-001	8.729438e-004
6.900000000000004e-001	9.398698e-004
7.000000000000004e-001	1.008353e-003
7.100000000000004e-001	1.078281e-003
7.200000000000004e-001	1.149549e-003
7.300000000000004e-001	1.222064e-003
7.400000000000004e-001	1.295737e-003
7.500000000000004e-001	1.370489e-003
7.600000000000005e-001	1.446246e-003
7.700000000000005e-001	1.522941e-003
7.800000000000005e-001	1.600513e-003
7.900000000000005e-001	1.678904e-003
8.000000000000005e-001	1.758064e-003
8.100000000000005e-001	1.837944e-003
8.200000000000005e-001	1.918501e-003
8.300000000000005e-001	1.999695e-003
8.400000000000005e-001	2.081487e-003
8.500000000000005e-001	2.163846e-003
8.600000000000005e-001	2.246737e-003
8.700000000000006e-001	2.330133e-003
8.800000000000006e-001	2.414006e-003
8.900000000000006e-001	2.498330e-003
9.000000000000006e-001	2.583084e-003
9.100000000000006e-001	2.668244e-003
9.200000000000006e-001	2.753791e-003
9.300000000000006e-001	2.839706e-003
9.400000000000006e-001	2.925971e-003
9.500000000000006e-001	3.012570e-003
9.600000000000006e-001	3.099488e-003
9.700000000000006e-001	3.186710e-003
9.800000000000007e-001	3.274223e-003
9.900000000000007e-001	3.362013e-003
1.000000000000001e+000	3.450070e-003
1.010000000000001e+000	3.538382e-003
1.020000000000001e+000	3.626939e-003
1.030000000000001e+000	3.715730e-003
1.040000000000001e+000	3.804747e-003
1.050000000000001e+000	3.893980e-003
1.060000000000001e+000	3.983421e-003
1.070000000000001e+000	4.073062e-003
1.080000000000001e+000	4.162896e-003
1.090000000000001e+000	4.252917e-003
1.100000000000001e+000	4.343116e-003
1.110000000000001e+000	4.433488e-003
1.120000000000001e+000	4.524026e-003
1.130000000000001e+000	4.614726e-003
1.140000000000001e+000	4.705580e-003
1.150000000000001e+000	4.796586e-003
1.160000000000001e+000	4.887736e-003
1.170000000000001e+000	4.979027e-003
1.180000000000001e+000	5.070455e-003
1.190000000000001e+000	5.162014e-003
1.200000000000001e+000	5.253701e-003
1.210000000000001e+000	5.345512e-003
1.220000000000001e+000	5.437443e-003
1.230000000000001e+000	5.529491e-003
1.240000000000001e+000	5.621652e-003
1.250000000000001e+000	5.713922e-003
1.260000000000001e+000	5.806299e-003
1.270000000000001e+000	5.898780e-003
1.280000000000001e+000	5.991362e-003
1.290000000000001e+000	6.084042e-003
1.300000000000001e+000	6.176817e-003
1.310000000000001e+000	6.269685e-003
1.320000000000001e+000	6.362643e-003
1.330000000000001e+000	6.455689e-003
1.340000000000001e+000	6.548821e-003
1.350000000000001e+000	6.642036e-003
1.360000000000001e+000	6.735332e-003
1.370000000000001e+000	6.828708e-003
1.380000000000001e+000	6.922162e-003
1.390000000000001e+000	7.015690e-003
1.400000000000001e+000	7.109293e-003
1.410000000000001e+000	7.202967e-003
1.420000000000001e+000	7.296712e-003
1.430000000000001e+000	7.390525e-003
1.440000000000001e+000	7.484405e-003
1.450000000000001e+000	7.578351e-003
1.460000000000001e+000	7.672360e-003
1.470000000000001e+000	7.766432e-003
1.480000000000001e+000	7.860566e-003
1.490000000000001e+000	7.954759e-003
1.500000000000001e+000	8.049010e-003
1.510000000000001e+000	8.143319e-003
1.520000000000001e+000	8.237683e-003
1.530000000000001e+000	8.332103e-003
1.540000000000001e+000	8.426577e-003
1.550000000000001e+000	8.521102e-003
1.560000000000001e+000	8.615680e-003
1.570000000000001e+000	8.710308e-003
1.580000000000001e+000	8.804985e-003
1.590000000000001e+000	8.899711e-003
1.600000000000001e+000	8.994485e-003
1.610000000000001e+000	9.089305e-003
1.620000000000001e+000	9.184171e-003
1.630000000000001e+000	9.279082e-003
1.640000000000001e+000	9.374036e-003
1.650000000000001e+000	9.469034e-003
1.660000000000001e+000	9.564074e-003
1.670000000000001e+000	9.659155e-003
1.680000000000001e+000	9.754278e-003
1.690000000000001e+000	9.849440e-003
1.700000000000001e+000	9.944643e-003
1.710000000000001e+000	1.003988e-002
1.720000000000001e+000	1.013516e-002
1.730000000000001e+000	1.023048e-002
1.740000000000001e+000	1.032583e-002
1.750000000000001e+000	1.042122e-002
1.760000000000001e+000	1.051664e-002
1.770000000000001e+000	1.061210e-002
1.780000000000001e+000	1.070759e-002
1.790000000000001e+000	1.080312e-002
1.800000000000001e+000	1.089868e-002
1.810000000000001e+000	1.099427e-002
1.820000000000001e+000	1.108990e-002
1.830000000000001e+000	1.118555e-002
1.840000000000001e+000	1.128124e-002
1.850000000000001e+000	1.137695e-002
1.860000000000001e+000	1.147270e-002
1.870000000000001e+000	1.156848e-002
1.880000000000001e+000	1.166428e-002
1.890000000000002e+000	1.176012e-002
1.900000000000002e+000	1.185598e-002
1.910000000000002e+000	1.195187e-002
1.920000000000002e+000	1.204779e-002
1.930000000000002e+000	1.214373e-002
1.940000000000002e+000	1.223970e-002
1.950000000000002e+000	1.233570e-002
1.960000000000002e+000	1.243172e-002
1.970000000000002e+000	1.252777e-002
1.980000000000002e+000	1.262384e-002
1.990000000000002e+000	1.271994e-002
2.000000000000001e+000	1.281606e-002
2.010000000000001e+000	1.291221e-002
2.020000000000001e+000	1.300838e-002
2.030000000000001e+000	1.310457e-002
2.040000000000001e+000	1.320079e-002
2.050000000000000e+000	1.329703e-002
2.060000000000000e+000	1.339329e-002
2.070000000000000e+000	1.348957e-002
2.080000000000000e+000	1.358587e-002
2.089999999999999e+000	1.368220e-002
2.099999999999999e+000	1.377855e-002
2.109999999999999e+000	1.387492e-002
2.119999999999999e+000	1.397130e-002
2.129999999999999e+000	1.406771e-002
2.139999999999998e+000	1.416414e-002
2.149999999999998e+000	1.426059e-002
2.159999999999998e+000	1.435706e-002
2.169999999999998e+000	1.445355e-002
2.179999999999998e+000	1.455005e-002
2.189999999999997e+000	1.464658e-002
2.199999999999997e+000	1.474312e-002
2.209999999999997e+000	1.483968e-002
2.219999999999997e+000	1.493626e-002
2.229999999999996e+000	1.503286e-002
2.239999999999996e+000	1.512948e-002
2.249999999999996e+000	1.522611e-002
2.259999999999996e+000	1.532276e-002
2.269999999999996e+000	1.541943e-002
