vi	V(si)	I(Si)
-5.800000000000627e-001	-5.799995e-001	-2.520573e-009
-5.700000000000627e-001	-5.699995e-001	-2.520561e-009
-5.600000000000627e-001	-5.599995e-001	-2.520549e-009
-5.500000000000627e-001	-5.499995e-001	-2.520536e-009
-5.400000000000627e-001	-5.399995e-001	-2.520523e-009
-5.300000000000626e-001	-5.299995e-001	-2.520509e-009
-5.200000000000626e-001	-5.199995e-001	-2.520494e-009
-5.100000000000626e-001	-5.099995e-001	-2.520478e-009
-5.000000000000626e-001	-4.999995e-001	-2.520459e-009
-4.900000000000626e-001	-4.899995e-001	-2.520439e-009
-4.800000000000626e-001	-4.799995e-001	-2.520417e-009
-4.700000000000626e-001	-4.699995e-001	-2.520391e-009
-4.600000000000626e-001	-4.599995e-001	-2.520362e-009
-4.500000000000626e-001	-4.499995e-001	-2.520327e-009
-4.400000000000626e-001	-4.399995e-001	-2.520287e-009
-4.300000000000626e-001	-4.299995e-001	-2.520239e-009
-4.200000000000626e-001	-4.199995e-001	-2.520182e-009
-4.100000000000625e-001	-4.099995e-001	-2.520113e-009
-4.000000000000625e-001	-3.999995e-001	-2.520030e-009
-3.900000000000625e-001	-3.899995e-001	-2.519929e-009
-3.800000000000625e-001	-3.799995e-001	-2.519805e-009
-3.700000000000625e-001	-3.699995e-001	-2.519653e-009
