Freq.	V(vo)	V(n004)
9.39658408401642e+003	(-1.64817245280564e+001dB,-1.57339267077268e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.43995674548154e+003	(-1.64817516018158e+001dB,-1.58065203200169e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.48352960605581e+003	(-1.64817789259157e+001dB,-1.58794485796579e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.52730358981631e+003	(-1.64818065026694e+001dB,-1.59527130253418e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.57127962510551e+003	(-1.64818343344113e+001dB,-1.60263152027800e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.61545864455087e+003	(-1.64818624234976e+001dB,-1.61002566647343e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.65984158508470e+003	(-1.64818907723061e+001dB,-1.61745389710488e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.70442938796397e+003	(-1.64819193832366e+001dB,-1.62491636886806e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.74922299879031e+003	(-1.64819482587111e+001dB,-1.63241323917325e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.79422336753003e+003	(-1.64819774011737e+001dB,-1.63994466614838e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.83943144853431e+003	(-1.64820068130914e+001dB,-1.64751080864227e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.88484820055939e+003	(-1.64820364969536e+001dB,-1.65511182622781e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.93047458678694e+003	(-1.64820664552730e+001dB,-1.66274787920521e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.97631157484449e+003	(-1.64820966905853e+001dB,-1.67041912860519e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.00223601368259e+004	(-1.64821272054495e+001dB,-1.67812573619223e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.00686212493120e+004	(-1.64821580024485e+001dB,-1.68586786446784e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.01150958933914e+004	(-1.64821890841887e+001dB,-1.69364567667382e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.01617850546812e+004	(-1.64822204533008e+001dB,-1.70145933679554e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.02086897233477e+004	(-1.64822521124396e+001dB,-1.70930900956524e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.02558108941279e+004	(-1.64822840642844e+001dB,-1.71719486046531e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.03031495663501e+004	(-1.64823163115394e+001dB,-1.72511705573168e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.03507067439553e+004	(-1.64823488569335e+001dB,-1.73307576235706e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.03984834355186e+004	(-1.64823817032209e+001dB,-1.74107114809436e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.04464806542703e+004	(-1.64824148531812e+001dB,-1.74910338146004e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.04946994181177e+004	(-1.64824483096195e+001dB,-1.75717263173744e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.05431407496665e+004	(-1.64824820753670e+001dB,-1.76527906898024e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.05918056762426e+004	(-1.64825161532808e+001dB,-1.77342286401581e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.06406952299137e+004	(-1.64825505462444e+001dB,-1.78160418844862e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.06898104475113e+004	(-1.64825852571680e+001dB,-1.78982321466371e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
