vi	V(vd1)	V(vo)	I(Red)
-8.280000000000037e+000	-3.144316e-008	-1.347770e+001	-1.348770e-011
-8.270000000000037e+000	-3.143847e-008	-1.347770e+001	-1.348770e-011
-8.260000000000037e+000	-3.143378e-008	-1.347770e+001	-1.348770e-011
-8.250000000000037e+000	-3.142909e-008	-1.347769e+001	-1.348770e-011
-8.240000000000038e+000	-3.142440e-008	-1.347769e+001	-1.348769e-011
-8.230000000000038e+000	-3.141971e-008	-1.347769e+001	-1.348769e-011
-8.220000000000038e+000	-3.141501e-008	-1.347769e+001	-1.348769e-011
-8.210000000000038e+000	-3.141032e-008	-1.347769e+001	-1.348769e-011
-8.200000000000038e+000	-3.140563e-008	-1.347769e+001	-1.348769e-011
-8.190000000000039e+000	-3.140094e-008	-1.347769e+001	-1.348769e-011
-8.180000000000039e+000	-3.139625e-008	-1.347769e+001	-1.348769e-011
-8.170000000000039e+000	-3.139156e-008	-1.347768e+001	-1.348768e-011
-8.160000000000039e+000	-3.138687e-008	-1.347768e+001	-1.348768e-011
-8.150000000000039e+000	-3.138218e-008	-1.347768e+001	-1.348768e-011
-8.140000000000040e+000	-3.137749e-008	-1.347768e+001	-1.348768e-011
-8.130000000000040e+000	-3.137280e-008	-1.347768e+001	-1.348768e-011
-8.120000000000040e+000	-3.136811e-008	-1.347768e+001	-1.348768e-011
-8.110000000000040e+000	-3.136342e-008	-1.347768e+001	-1.348768e-011
-8.100000000000041e+000	-3.135872e-008	-1.347768e+001	-1.348768e-011
-8.090000000000041e+000	-3.135403e-008	-1.347768e+001	-1.348768e-011
-8.080000000000041e+000	-3.134934e-008	-1.347767e+001	-1.348767e-011
-8.070000000000041e+000	-3.134465e-008	-1.347767e+001	-1.348767e-011
-8.060000000000041e+000	-3.133996e-008	-1.347767e+001	-1.348767e-011
-8.050000000000042e+000	-3.133527e-008	-1.347767e+001	-1.348767e-011
-8.040000000000042e+000	-3.133058e-008	-1.347767e+001	-1.348767e-011
-8.030000000000042e+000	-3.132589e-008	-1.347767e+001	-1.348767e-011
-8.020000000000042e+000	-3.132120e-008	-1.347767e+001	-1.348767e-011
-8.010000000000042e+000	-3.131651e-008	-1.347767e+001	-1.348767e-011
-8.000000000000043e+000	-3.131182e-008	-1.347766e+001	-1.348766e-011
-7.990000000000043e+000	-3.130712e-008	-1.347766e+001	-1.348766e-011
-7.980000000000043e+000	-3.130243e-008	-1.347766e+001	-1.348766e-011
-7.970000000000043e+000	-3.129774e-008	-1.347766e+001	-1.348766e-011
-7.960000000000044e+000	-3.129305e-008	-1.347766e+001	-1.348766e-011
-7.950000000000044e+000	-3.128836e-008	-1.347766e+001	-1.348766e-011
-7.940000000000044e+000	-3.128367e-008	-1.347766e+001	-1.348766e-011
-7.930000000000044e+000	-3.127898e-008	-1.347766e+001	-1.348766e-011
-7.920000000000044e+000	-3.127429e-008	-1.347765e+001	-1.348765e-011
-7.910000000000045e+000	-3.126960e-008	-1.347765e+001	-1.348765e-011
-7.900000000000045e+000	-3.126491e-008	-1.347765e+001	-1.348765e-011
-7.890000000000045e+000	-3.126022e-008	-1.347765e+001	-1.348765e-011
-7.880000000000045e+000	-3.125553e-008	-1.347765e+001	-1.348765e-011
-7.870000000000045e+000	-3.125083e-008	-1.347765e+001	-1.348765e-011
-7.860000000000046e+000	-3.124615e-008	-1.347765e+001	-1.348765e-011
-7.850000000000046e+000	-3.124146e-008	-1.347765e+001	-1.348765e-011
-7.840000000000046e+000	-3.123676e-008	-1.347764e+001	-1.348764e-011
-7.830000000000046e+000	-3.123207e-008	-1.347764e+001	-1.348764e-011
-7.820000000000047e+000	-3.122738e-008	-1.347764e+001	-1.348764e-011
-7.810000000000047e+000	-3.122269e-008	-1.347764e+001	-1.348764e-011
-7.800000000000047e+000	-3.121800e-008	-1.347764e+001	-1.348764e-011
-7.790000000000047e+000	-3.121331e-008	-1.347764e+001	-1.348764e-011
-7.780000000000047e+000	-3.120862e-008	-1.347764e+001	-1.348764e-011
-7.770000000000048e+000	-3.120393e-008	-1.347764e+001	-1.348764e-011
-7.760000000000048e+000	-3.119924e-008	-1.347763e+001	-1.348763e-011
-7.750000000000048e+000	-3.119455e-008	-1.347763e+001	-1.348763e-011
-7.740000000000048e+000	-3.118986e-008	-1.347763e+001	-1.348763e-011
-7.730000000000048e+000	-3.118516e-008	-1.347763e+001	-1.348763e-011
-7.720000000000049e+000	-3.118047e-008	-1.347763e+001	-1.348763e-011
-7.710000000000049e+000	-3.117578e-008	-1.347763e+001	-1.348763e-011
-7.700000000000049e+000	-3.117109e-008	-1.347763e+001	-1.348763e-011
-7.690000000000049e+000	-3.116640e-008	-1.347763e+001	-1.348763e-011
-7.680000000000050e+000	-3.116171e-008	-1.347762e+001	-1.348763e-011
-7.670000000000050e+000	-3.115702e-008	-1.347762e+001	-1.348762e-011
-7.660000000000050e+000	-3.115233e-008	-1.347762e+001	-1.348762e-011
-7.650000000000050e+000	-3.114764e-008	-1.347762e+001	-1.348762e-011
-7.640000000000050e+000	-3.114295e-008	-1.347762e+001	-1.348762e-011
-7.630000000000051e+000	-3.113826e-008	-1.347762e+001	-1.348762e-011
-7.620000000000051e+000	-3.113357e-008	-1.347762e+001	-1.348762e-011
-7.610000000000051e+000	-3.112887e-008	-1.347762e+001	-1.348762e-011
-7.600000000000051e+000	-3.112418e-008	-1.347762e+001	-1.348761e-011
-7.590000000000051e+000	-3.111949e-008	-1.347761e+001	-1.348761e-011
-7.580000000000052e+000	-3.111480e-008	-1.347761e+001	-1.348761e-011
-7.570000000000052e+000	-3.111011e-008	-1.347761e+001	-1.348761e-011
-7.560000000000052e+000	-3.110542e-008	-1.347761e+001	-1.348761e-011
-7.550000000000052e+000	-3.110073e-008	-1.347761e+001	-1.348761e-011
-7.540000000000052e+000	-3.109604e-008	-1.347761e+001	-1.348761e-011
-7.530000000000053e+000	-3.109135e-008	-1.347761e+001	-1.348761e-011
-7.520000000000053e+000	-3.108666e-008	-1.347760e+001	-1.348761e-011
-7.510000000000053e+000	-3.108197e-008	-1.347760e+001	-1.348760e-011
-7.500000000000053e+000	-3.107728e-008	-1.347760e+001	-1.348760e-011
-7.490000000000054e+000	-3.107258e-008	-1.347760e+001	-1.348760e-011
-7.480000000000054e+000	-3.106789e-008	-1.347760e+001	-1.348760e-011
-7.470000000000054e+000	-3.106321e-008	-1.347760e+001	-1.348760e-011
-7.460000000000054e+000	-3.105851e-008	-1.347760e+001	-1.348760e-011
-7.450000000000054e+000	-3.105382e-008	-1.347760e+001	-1.348760e-011
-7.440000000000055e+000	-3.104913e-008	-1.347760e+001	-1.348760e-011
-7.430000000000055e+000	-3.104444e-008	-1.347759e+001	-1.348759e-011
-7.420000000000055e+000	-3.103975e-008	-1.347759e+001	-1.348759e-011
-7.410000000000055e+000	-3.103506e-008	-1.347759e+001	-1.348759e-011
-7.400000000000055e+000	-3.103037e-008	-1.347759e+001	-1.348759e-011
-7.390000000000056e+000	-3.102568e-008	-1.347759e+001	-1.348759e-011
-7.380000000000056e+000	-3.102098e-008	-1.347759e+001	-1.348759e-011
-7.370000000000056e+000	-3.101630e-008	-1.347759e+001	-1.348759e-011
-7.360000000000056e+000	-3.101161e-008	-1.347759e+001	-1.348759e-011
-7.350000000000057e+000	-3.100691e-008	-1.347758e+001	-1.348758e-011
-7.340000000000057e+000	-3.100222e-008	-1.347758e+001	-1.348758e-011
-7.330000000000057e+000	-3.099753e-008	-1.347758e+001	-1.348758e-011
-7.320000000000057e+000	-3.099284e-008	-1.347758e+001	-1.348758e-011
-7.310000000000057e+000	-3.098815e-008	-1.347758e+001	-1.348758e-011
-7.300000000000058e+000	-3.098346e-008	-1.347758e+001	-1.348758e-011
-7.290000000000058e+000	-3.097877e-008	-1.347758e+001	-1.348758e-011
-7.280000000000058e+000	-3.097408e-008	-1.347758e+001	-1.348758e-011
-7.270000000000058e+000	-3.096939e-008	-1.347757e+001	-1.348757e-011
-7.260000000000058e+000	-3.096470e-008	-1.347757e+001	-1.348757e-011
-7.250000000000059e+000	-3.096001e-008	-1.347757e+001	-1.348757e-011
-7.240000000000059e+000	-3.095532e-008	-1.347757e+001	-1.348757e-011
-7.230000000000059e+000	-3.095062e-008	-1.347757e+001	-1.348757e-011
-7.220000000000059e+000	-3.094593e-008	-1.347757e+001	-1.348757e-011
-7.210000000000060e+000	-3.094124e-008	-1.347757e+001	-1.348757e-011
-7.200000000000060e+000	-3.093655e-008	-1.347757e+001	-1.348757e-011
-7.190000000000060e+000	-3.093186e-008	-1.347756e+001	-1.348756e-011
-7.180000000000060e+000	-3.092717e-008	-1.347756e+001	-1.348756e-011
-7.170000000000060e+000	-3.092248e-008	-1.347756e+001	-1.348756e-011
-7.160000000000061e+000	-3.091779e-008	-1.347756e+001	-1.348756e-011
-7.150000000000061e+000	-3.091310e-008	-1.347756e+001	-1.348756e-011
-7.140000000000061e+000	-3.090841e-008	-1.347756e+001	-1.348756e-011
-7.130000000000061e+000	-3.090372e-008	-1.347756e+001	-1.348756e-011
-7.120000000000061e+000	-3.089903e-008	-1.347756e+001	-1.348756e-011
-7.110000000000062e+000	-3.089433e-008	-1.347755e+001	-1.348755e-011
-7.100000000000062e+000	-3.088964e-008	-1.347755e+001	-1.348755e-011
-7.090000000000062e+000	-3.088495e-008	-1.347755e+001	-1.348755e-011
-7.080000000000062e+000	-3.088026e-008	-1.347755e+001	-1.348755e-011
-7.070000000000063e+000	-3.087557e-008	-1.347755e+001	-1.348755e-011
-7.060000000000063e+000	-3.087088e-008	-1.347755e+001	-1.348755e-011
-7.050000000000063e+000	-3.086619e-008	-1.347755e+001	-1.348755e-011
-7.040000000000063e+000	-3.086150e-008	-1.347755e+001	-1.348755e-011
-7.030000000000063e+000	-3.085681e-008	-1.347754e+001	-1.348754e-011
-7.020000000000064e+000	-3.085212e-008	-1.347754e+001	-1.348754e-011
-7.010000000000064e+000	-3.084743e-008	-1.347754e+001	-1.348754e-011
-7.000000000000064e+000	-3.084273e-008	-1.347754e+001	-1.348754e-011
-6.990000000000064e+000	-3.083805e-008	-1.347754e+001	-1.348754e-011
-6.980000000000064e+000	-3.083336e-008	-1.347754e+001	-1.348754e-011
-6.970000000000065e+000	-3.082866e-008	-1.347754e+001	-1.348754e-011
-6.960000000000065e+000	-3.082397e-008	-1.347754e+001	-1.348754e-011
-6.950000000000065e+000	-3.081928e-008	-1.347754e+001	-1.348753e-011
-6.940000000000065e+000	-3.081459e-008	-1.347753e+001	-1.348753e-011
-6.930000000000065e+000	-3.080990e-008	-1.347753e+001	-1.348753e-011
-6.920000000000066e+000	-3.080521e-008	-1.347753e+001	-1.348753e-011
-6.910000000000066e+000	-3.080052e-008	-1.347753e+001	-1.348753e-011
-6.900000000000066e+000	-3.079583e-008	-1.347753e+001	-1.348753e-011
