Freq.	V(vo)
1.40919146563224e+004	(4.76960773456041e+001dB,-9.00639124222293e+001°)
1.41569599789971e+004	(4.76560771988201e+001dB,-9.00647746755502e+001°)
1.42223055372398e+004	(4.76160770498305e+001dB,-9.00656383025579e+001°)
1.42879527168749e+004	(4.75760768986226e+001dB,-9.00665033215674e+001°)
1.43539029101236e+004	(4.75360767451836e+001dB,-9.00673697509230e+001°)
1.44201575156332e+004	(4.74960765895004e+001dB,-9.00682376089993e+001°)
1.44867179385068e+004	(4.74560764315600e+001dB,-9.00691069142007e+001°)
1.45535855903332e+004	(4.74160762713488e+001dB,-9.00699776849628e+001°)
1.46207618892169e+004	(4.73760761088534e+001dB,-9.00708499397518e+001°)
1.46882482598079e+004	(4.73360759440598e+001dB,-9.00717236970657e+001°)
1.47560461333321e+004	(4.72960757769542e+001dB,-9.00725989754342e+001°)
1.48241569476219e+004	(4.72560756075223e+001dB,-9.00734757934194e+001°)
1.48925821471461e+004	(4.72160754357498e+001dB,-9.00743541696158e+001°)
1.49613231830411e+004	(4.71760752616221e+001dB,-9.00752341226511e+001°)
1.50303815131414e+004	(4.71360750851245e+001dB,-9.00761156711865e+001°)
1.50997586020103e+004	(4.70960749062419e+001dB,-9.00769988339168e+001°)
1.51694559209716e+004	(4.70560747249592e+001dB,-9.00778836295713e+001°)
1.52394749481401e+004	(4.70160745412610e+001dB,-9.00787700769138e+001°)
1.53098171684536e+004	(4.69760743551318e+001dB,-9.00796581947430e+001°)
1.53804840737038e+004	(4.69360741665557e+001dB,-9.00805480018932e+001°)
1.54514771625682e+004	(4.68960739755167e+001dB,-9.00814395172344e+001°)
1.55227979406420e+004	(4.68560737819987e+001dB,-9.00823327596730e+001°)
1.55944479204699e+004	(4.68160735859852e+001dB,-9.00832277481517e+001°)
1.56664286215781e+004	(4.67760733874596e+001dB,-9.00841245016506e+001°)
1.57387415705068e+004	(4.67360731864051e+001dB,-9.00850230391869e+001°)
1.58113883008421e+004	(4.66960729828045e+001dB,-9.00859233798157e+001°)
1.58843703532491e+004	(4.66560727766407e+001dB,-9.00868255426306e+001°)
1.59576892755040e+004	(4.66160725678962e+001dB,-9.00877295467635e+001°)
1.60313466225276e+004	(4.65760723565531e+001dB,-9.00886354113855e+001°)
1.61053439564174e+004	(4.65360721425937e+001dB,-9.00895431557071e+001°)
1.61796828464816e+004	(4.64960719259997e+001dB,-9.00904527989787e+001°)
1.62543648692720e+004	(4.64560717067528e+001dB,-9.00913643604909e+001°)
1.63293916086170e+004	(4.64160714848343e+001dB,-9.00922778595749e+001°)
1.64047646556562e+004	(4.63760712602256e+001dB,-9.00931933156033e+001°)
1.64804856088731e+004	(4.63360710329074e+001dB,-9.00941107479899e+001°)
1.65565560741298e+004	(4.62960708028606e+001dB,-9.00950301761904e+001°)
1.66329776647005e+004	(4.62560705700655e+001dB,-9.00959516197031e+001°)
1.67097520013060e+004	(4.62160703345025e+001dB,-9.00968750980686e+001°)
1.67868807121480e+004	(4.61760700961516e+001dB,-9.00978006308710e+001°)
1.68643654329437e+004	(4.61360698549926e+001dB,-9.00987282377377e+001°)
1.69422078069604e+004	(4.60960696110049e+001dB,-9.00996579383404e+001°)
1.70204094850503e+004	(4.60560693641680e+001dB,-9.01005897523949e+001°)
1.70989721256857e+004	(4.60160691144608e+001dB,-9.01015236996620e+001°)
1.71778973949940e+004	(4.59760688618622e+001dB,-9.01024597999475e+001°)
1.72571869667931e+004	(4.59360686063507e+001dB,-9.01033980731031e+001°)
1.73368425226268e+004	(4.58960683479047e+001dB,-9.01043385390264e+001°)
1.74168657518009e+004	(4.58560680865023e+001dB,-9.01052812176616e+001°)
